순번,이수구분,교과목명,캠퍼스구분,학점,강의시간/강의실,강의정보1,강의정보2,학부(과),영역구분
1826,전선,농구실습,가좌캠퍼스,1.0,"화8,9[005-0101]","화8,9[005-0101]",,체육교육과,
1827,전선,배구실습2,가좌캠퍼스,1.0,"금1,2[005-0101]","금1,2[005-0101]",,체육교육과,
1828,전선,핸드볼실습,가좌캠퍼스,1.0,"월6,7[005-0101]","월6,7[005-0101]",,체육교육과,
1829,전필,수의학개론1,가좌캠퍼스,2.0,"금8,9[501-0107]","금8,9[501-0107]",,수의예과,
1830,전필,의학통계학,가좌캠퍼스,2.0,"화1,2[501-B102]","화1,2[501-B102]",,수의예과,
1831,전필,유기화학및실험1,가좌캠퍼스,3.0,"수1,2[352-0211],금3,4[352-0437]","수1,2[352-0211]","금3,4[352-0437]",수의예과,
1832,전필,수의학용어,가좌캠퍼스,2.0,"수7,8[501-B102]","수7,8[501-B102]",,수의예과,
1834,전필,수의감염병태학개론,가좌캠퍼스,1.0,수6[501-B102],수6[501-B102],,수의예과,
1836,전필,수의윤리학,가좌캠퍼스,1.0,목1[501-B102],목1[501-B102],,수의예과,
1837,전필,수의해부학실습1,가좌캠퍼스,1.0,"월6,7[455-0107]","월6,7[455-0107]",,수의학과,
1838,전필,수의조직학실습1,가좌캠퍼스,1.0,"금3,4[501-0207]","금3,4[501-0207]",,수의학과,
1839,전필,수의세균학실습1,가좌캠퍼스,1.0,"목6,7[501-0511]","목6,7[501-0511]",,수의학과,
1840,전필,수의생리학실습1,가좌캠퍼스,1.0,"화6,7[501-0410]","화6,7[501-0410]",,수의학과,
1841,전필,수의생화학실습1,가좌캠퍼스,1.0,"수6,7[501-0309]","수6,7[501-0309]",,수의학과,
1842,전필,수의세균학1,가좌캠퍼스,2.0,"수1,2[501-B103]","수1,2[501-B103]",,수의학과,
1843,전필,수의생리학1,가좌캠퍼스,4.0,"화2,3[501-B103],목1,2[501-B103]","화2,3[501-B103]","목1,2[501-B103]",수의학과,
1844,전필,수의조직학1,가좌캠퍼스,2.0,"금1,2[501-B103]","금1,2[501-B103]",,수의학과,
1845,전필,수의생화학1,가좌캠퍼스,3.0,"화1[501-B103],수3,4[501-B103]",화1[501-B103],"수3,4[501-B103]",수의학과,
1846,전필,수의해부학Ⅰ,가좌캠퍼스,3.0,"월2,3,4[501-B103]","월2,3,4[501-B103]",,수의학과,
1847,전필,수의약리학실습1,가좌캠퍼스,1.0,"화6,7[501-0311]","화6,7[501-0311]",,수의학과,
1848,전필,수의바이러스학실습,가좌캠퍼스,1.0,"월6,7[501-0509]","월6,7[501-0509]",,수의학과,
1849,전필,수의기생충학실습1,가좌캠퍼스,1.0,"목6,7[501-0207]","목6,7[501-0207]",,수의학과,
1850,전필,수의독성학실습1,가좌캠퍼스,1.0,"금6,7[501-0311]","금6,7[501-0311]",,수의학과,
1851,전필,수의병리학실습1,가좌캠퍼스,1.0,"수6,7[501-0207]","수6,7[501-0207]",,수의학과,
1852,전필,수의바이러스학,가좌캠퍼스,2.0,"월3,4[501-0208]","월3,4[501-0208]",,수의학과,
1853,전필,수의약리학1,가좌캠퍼스,3.0,"화1,2[501-0208],수4[501-0208]","화1,2[501-0208]",수4[501-0208],수의학과,
1854,전필,수의기생충학1,가좌캠퍼스,2.0,"목1,2[501-0208]","목1,2[501-0208]",,수의학과,
1855,전필,수의병리학총론,가좌캠퍼스,3.0,"수2,3[501-0208],금2[501-0208]","수2,3[501-0208]",금2[501-0208],수의학과,
1856,전필,수의독성학1,가좌캠퍼스,2.0,"금3,4[501-0208]","금3,4[501-0208]",,수의학과,
1857,전필,실험동물의학1,가좌캠퍼스,2.0,"화3,4[501-0208]","화3,4[501-0208]",,수의학과,
1858,전필,수의역학,가좌캠퍼스,2.0,"월1,2[501-0208]","월1,2[501-0208]",,수의학과,
1859,전필,수생생명의학1,가좌캠퍼스,2.0,"월3,4[501-0310]","월3,4[501-0310]",,수의학과,
1860,전필,수생생명의학실습1,가좌캠퍼스,1.0,"월6,7[501-0207]","월6,7[501-0207]",,수의학과,
1861,전필,수의공중보건학실습,가좌캠퍼스,1.0,"목6,7[501-0409]","목6,7[501-0409]",,수의학과,
1862,전필,수의외과학총론,가좌캠퍼스,2.0,"금1,2[501-0310]","금1,2[501-0310]",,수의학과,
1863,전필,동물행동학,가좌캠퍼스,1.0,수3[501-0310],수3[501-0310],,수의학과,
1864,전필,수의바이러스전염병학,가좌캠퍼스,2.0,"수1,2[501-0310]","수1,2[501-0310]",,수의학과,
1865,전필,수의내과학총론,가좌캠퍼스,2.0,"월1,2[501-0310]","월1,2[501-0310]",,수의학과,
1866,전필,수의공중보건학,가좌캠퍼스,2.0,"목1,2[501-0310]","목1,2[501-0310]",,수의학과,
1867,전선,수의면역학,가좌캠퍼스,2.0,"화6,7[501-0310]","화6,7[501-0310]",,수의학과,
1868,전선,수의바이러스전염병학실습,가좌캠퍼스,2.0,"수6,7,8,9[501-0509]","수6,7,8,9[501-0509]",,수의학과,
1869,전선,임상번식학,가좌캠퍼스,3.0,"화1,2,3[501-0310]","화1,2,3[501-0310]",,수의학과,
1870,전필,임상로테이션1,가좌캠퍼스,4.0,"수1,2,3,4[505-218-5],목1,2,3,4[505-218-5]","수1,2,3,4[505-218-5]","목1,2,3,4[505-218-5]",수의학과,
1871,전필,수의영상의학2,가좌캠퍼스,2.0,"금1,2[501-0111]","금1,2[501-0111]",,수의학과,
1872,전필,수의산과학1,가좌캠퍼스,4.0,"월1,2,3,4[501-0111]","월1,2,3,4[501-0111]",,수의학과,
1873,전필,수의외과학2,가좌캠퍼스,2.0,"금3,4[501-0111]","금3,4[501-0111]",,수의학과,
1874,전필,동물소화기내과,가좌캠퍼스,2.0,"화6,7[501-0111]","화6,7[501-0111]",,수의학과,
1875,전필,동물혈액종양내과,가좌캠퍼스,1.0,화8[501-0111],화8[501-0111],,수의학과,
1876,전선,수의방사선치료학,가좌캠퍼스,1.0,월6[501-0111],월6[501-0111],,수의학과,
1877,전선,임상PBL강의,가좌캠퍼스,2.0,"금6,7[501-B105]","금6,7[501-B105]",,수의학과,
1878,전선,동물병원경영학,가좌캠퍼스,1.0,금8[501-0111],금8[501-0111],,수의학과,
1879,전선,수의단층영상의학,가좌캠퍼스,2.0,"화1,2[501-0111]","화1,2[501-0111]",,수의학과,
1880,전선,수의안과학2,가좌캠퍼스,2.0,"화3,4[501-0111]","화3,4[501-0111]",,수의학과,
2277,전필,약학개론,가좌캠퍼스,2.0,"화8,9[028-0420]","화8,9[028-0420]",,약학과,
2278,전필,약품분석학1,가좌캠퍼스,2.0,"화1,2[028-0403]","화1,2[028-0403]",,약학과,
2279,전필,약품생화학1,가좌캠퍼스,3.0,"월1,2[028-0403],목1[028-0403]","월1,2[028-0403]",목1[028-0403],약학과,
2280,전필,유기약화학1,가좌캠퍼스,3.0,"월6[028-0403],수8,9[028-0403]",월6[028-0403],"수8,9[028-0403]",약학과,
2281,전필,의약품계산,가좌캠퍼스,3.0,"목6[028-0403],금1,2[028-0403]",목6[028-0403],"금1,2[028-0403]",약학과,
2282,전필,약학통계학,가좌캠퍼스,3.0,"수1,2[028-0406],목2[028-0406]","수1,2[028-0406]",목2[028-0406],약학과,
2283,전선,세포생물학,가좌캠퍼스,2.0,"화6,7[028-0403]","화6,7[028-0403]",,약학과,
2284,전선,분자영상학,가좌캠퍼스,2.0,"월8,9[028-0403]","월8,9[028-0403]",,약학과,
2285,전선,약의역사,가좌캠퍼스,2.0,"목7,8[028-0403]","목7,8[028-0403]",,약학과,
2286,전필,물리약학,가좌캠퍼스,3.0,"화6[028-0405],목1,2[028-0405]",화6[028-0405],"목1,2[028-0405]",약학과,
2287,전필,생약학1,가좌캠퍼스,3.0,"화1,2[028-0405],수3[028-0405]","화1,2[028-0405]",수3[028-0405],약학과,
2288,전필,해부생리학2,가좌캠퍼스,3.0,"수7,8[028-0405],목3[028-0405]","수7,8[028-0405]",목3[028-0405],약학과,
2289,전필,의약데이터사이언스1,가좌캠퍼스,2.0,"수5,6[028-0405]","수5,6[028-0405]",,약학과,
2290,전필,의약품합성학1,가좌캠퍼스,2.0,"금2,3[028-0418]","금2,3[028-0418]",,약학과,
2291,전필,약학실습1,가좌캠퍼스,1.0,"화7,8[028-0419]","화7,8[028-0419]",,약학과,
2292,전필,약품미생물학1,가좌캠퍼스,3.0,"월5,6[028-0405],목7[028-0405]","월5,6[028-0405]",목7[028-0405],약학과,
2293,전필,예방약학1,가좌캠퍼스,2.0,"월1,2[028-0405]","월1,2[028-0405]",,약학과,
2294,전선,내분비학,가좌캠퍼스,2.0,"월7,8[028-0405]","월7,8[028-0405]",,약학과,
2295,전선,종양생물학,가좌캠퍼스,2.0,"목5,6[028-0405]","목5,6[028-0405]",,약학과,
2296,전필,약제학1,가좌캠퍼스,3.0,"수3[028-0404],목7,8[028-0404]",수3[028-0404],"목7,8[028-0404]",약학과,
2297,전필,면역학,가좌캠퍼스,3.0,"화1,2[028-0404],수5[028-0404]","화1,2[028-0404]",수5[028-0404],약학과,
2298,전필,병태생리학2,가좌캠퍼스,2.0,"금2,3[028-0419]","금2,3[028-0419]",,약학과,
2299,전필,약물동태학,가좌캠퍼스,3.0,"월3[028-0404],화6,7[028-0404]",월3[028-0404],"화6,7[028-0404]",약학과,
2300,전필,약학실습3,가좌캠퍼스,1.0,"수7,8[028-0418]","수7,8[028-0418]",,약학과,
2301,전필,약리학2,가좌캠퍼스,3.0,"수1,2[028-0404],목3[028-0404]","수1,2[028-0404]",목3[028-0404],약학과,
2303,전필,사회약학1,가좌캠퍼스,2.0,"화8,9[028-0406]","화8,9[028-0406]",,약학과,
2304,전선,생물약제학,가좌캠퍼스,2.0,"월1,2[028-0404]","월1,2[028-0404]",,약학과,
2305,전선,약물상호작용,가좌캠퍼스,2.0,"금8,9[028-0404]","금8,9[028-0404]",,약학과,
2306,전선,제약캡스톤디자인B,가좌캠퍼스,2.0,"금6,7[028-0418]","금6,7[028-0418]",,약학과,
2307,전선,감염병의약품학,가좌캠퍼스,2.0,"목1,2[028-0404]","목1,2[028-0404]",,약학과,
2308,전필,약물치료학1,가좌캠퍼스,3.0,"화6,7[028-0402],수3[028-0402]","화6,7[028-0402]",수3[028-0402],약학과,
2309,전필,약물치료학2,가좌캠퍼스,3.0,"목3[028-0402],금1,2[028-0402]",목3[028-0402],"금1,2[028-0402]",약학과,
2310,전필,조제학,가좌캠퍼스,2.0,"수5,6[028-0402]","수5,6[028-0402]",,약학과,
2311,전필,제약산업학,가좌캠퍼스,3.0,"수7[028-0402],목1,2[028-0402]",수7[028-0402],"목1,2[028-0402]",약학과,
2312,전필,의약품품질관리학,가좌캠퍼스,2.0,"월7,8[028-0402]","월7,8[028-0402]",,약학과,
2313,전필,생물의약품학,가좌캠퍼스,2.0,"화1,2[028-0402]","화1,2[028-0402]",,약학과,
2314,전필,의약정보와경제성평가,가좌캠퍼스,2.0,"목6,7[028-0406]","목6,7[028-0406]",,약학과,
2315,전선,천연물의약품학,가좌캠퍼스,2.0,"월1,2[028-0402]","월1,2[028-0402]",,약학과,
2316,전선,항생물질학,가좌캠퍼스,2.0,"수1,2[028-0402]","수1,2[028-0402]",,약학과,
2317,전선,위생약학,가좌캠퍼스,2.0,"화8,9[028-0402]","화8,9[028-0402]",,약학과,
2318,전선,일반의약품학,가좌캠퍼스,2.0,"월5,6[028-0402]","월5,6[028-0402]",,약학과,
2432,전선,공학기초수학,가좌캠퍼스,3.0,"월3[601-0306],목1,2[601-0306]",월3[601-0306],"목1,2[601-0306]",AI정보공학과,
2433,전필,이산수학,가좌캠퍼스,3.0,"월6,7[601-0306],목5[601-0306]","월6,7[601-0306]",목5[601-0306],AI정보공학과,
2434,전필,신호및시스템,가좌캠퍼스,3.0,"월1,2[601-0301],수3[601-0301]","월1,2[601-0301]",수3[601-0301],AI정보공학과,
2435,전선,선형대수,가좌캠퍼스,3.0,"월3[601-0301],목1,2[601-0301]",월3[601-0301],"목1,2[601-0301]",AI정보공학과,
2436,전선,프로그래밍응용,가좌캠퍼스,3.0,"수6,7,8,9[601-0305]","수6,7,8,9[601-0305]",,AI정보공학과,
2437,전선,파이썬프로그래밍,가좌캠퍼스,3.0,"화1,2,3,4[601-0305]","화1,2,3,4[601-0305]",,AI정보공학과,
2438,전선,공학영어,가좌캠퍼스,3.0,"화8,9[601-0306],목9[601-0306]","화8,9[601-0306]",목9[601-0306],AI정보공학과,
2439,전선,디지털공학,가좌캠퍼스,3.0,"금1,2,3[601-0301]","금1,2,3[601-0301]",,AI정보공학과,
2440,전선,디지털시스템설계,가좌캠퍼스,3.0,"금5,6,7[601-0306]","금5,6,7[601-0306]",,AI정보공학과,
2441,전필,통신이론,가좌캠퍼스,3.0,"월6,7[601-0301],목5[601-0301]","월6,7[601-0301]",목5[601-0301],AI정보공학과,
2442,전필,컴퓨터네트워크,가좌캠퍼스,3.0,"월5[601-0301],수6,7[601-0301]",월5[601-0301],"수6,7[601-0301]",AI정보공학과,
2443,전필,영상처리및패턴인식,가좌캠퍼스,3.0,"월1,2[601-0305],수3[601-0305]","월1,2[601-0305]",수3[601-0305],AI정보공학과,
2444,전선,머신러닝,가좌캠퍼스,3.0,"화5[601-0305],목6,7[601-0305]",화5[601-0305],"목6,7[601-0305]",AI정보공학과,
2445,전선,데이터과학,가좌캠퍼스,3.0,"월3[601-0305],목1,2[601-0305]",월3[601-0305],"목1,2[601-0305]",AI정보공학과,
2446,전선,소프트웨어개발론,가좌캠퍼스,3.0,"월8,9[601-0305],수1,2[601-0305]","월8,9[601-0305]","수1,2[601-0305]",AI정보공학과,
2447,전선,컴퓨터구조,가좌캠퍼스,3.0,"금1,2,3[601-0306]","금1,2,3[601-0306]",,AI정보공학과,
2452,전필,캡스톤디자인,가좌캠퍼스,3.0,"화6,7,8,9[601-0305]","화6,7,8,9[601-0305]",,AI정보공학과,
2453,전선,창의프리젠테이션,가좌캠퍼스,3.0,"금6,7,8,9[601-0301]","금6,7,8,9[601-0301]",,AI정보공학과,
2458,전선,알고리즘과수치해석,가좌캠퍼스,3.0,"금1,2,3,4[601-0308]","금1,2,3,4[601-0308]",,AI정보공학과,
2459,전선,정보이론과채널코딩,가좌캠퍼스,3.0,"화1,2[601-0306],목3[601-0306]","화1,2[601-0306]",목3[601-0306],AI정보공학과,
2494,전선,반도체공학개론,가좌캠퍼스,2.0,"수7,8[405-0321]","수7,8[405-0321]",,반도체공학과,
2495,전필,물리전자1,가좌캠퍼스,3.0,"월5[405-0322],수6,7[405-0322]",월5[405-0322],"수6,7[405-0322]",반도체공학과,
2496,전필,기초회로실험1,가좌캠퍼스,2.0,"수1,2,3[404-0205]","수1,2,3[404-0205]",,반도체공학과,
2497,전필,기초회로실험1,가좌캠퍼스,2.0,"화6,7,8[404-0205]","화6,7,8[404-0205]",,반도체공학과,
2498,전선,회로해석론1,가좌캠퍼스,3.0,"월3[405-0322],목1,2[405-0322]",월3[405-0322],"목1,2[405-0322]",반도체공학과,
2499,전선,전자기이론1,가좌캠퍼스,3.0,"화1,2[405-0322],목5[405-0322]","화1,2[405-0322]",목5[405-0322],반도체공학과,
2500,전선,공학수학1,가좌캠퍼스,3.0,"화5[405-0322],목6,7[405-0322]",화5[405-0322],"목6,7[405-0322]",반도체공학과,
2501,전필,반도체소자,가좌캠퍼스,3.0,"화5[405-0321],목6,7[405-0321]",화5[405-0321],"목6,7[405-0321]",반도체공학과,
2502,전필,전자회로실험1,가좌캠퍼스,2.0,"월6,7,8[404-0205]","월6,7,8[404-0205]",,반도체공학과,
2503,전필,전자회로실험1,가좌캠퍼스,2.0,"수7,8,9[404-0205]","수7,8,9[404-0205]",,반도체공학과,
2504,전선,전자회로1,가좌캠퍼스,3.0,"월5[405-0321],수5,6[405-0321]",월5[405-0321],"수5,6[405-0321]",반도체공학과,
2505,전선,반도체후공정개론,가좌캠퍼스,3.0,"금1,2,3[405-0322]","금1,2,3[405-0322]",,반도체공학과,
2506,전선,극한환경반도체소자개론,가좌캠퍼스,3.0,"금8,9,10[405-0322]","금8,9,10[405-0322]",,반도체공학과,
2507,전필,캡스톤디자인1,가좌캠퍼스,3.0,"목5,6,7[405-0109]","목5,6,7[405-0109]",,반도체공학과,
2508,전필,캡스톤디자인1,가좌캠퍼스,3.0,"화6,7,8[405-0109]","화6,7,8[405-0109]",,반도체공학과,
2509,전필,집적회로설계,가좌캠퍼스,3.0,"수5[405-0322],목1,2[405-0321]",수5[405-0322],"목1,2[405-0321]",반도체공학과,
2515,전선,플라즈마공학,가좌캠퍼스,3.0,"수8,9,10[405-0322]","수8,9,10[405-0322]",,반도체공학과,
2516,전선,차세대디스플레이제조PBL,가좌캠퍼스,3.0,"월6,7,8[405-0322]","월6,7,8[405-0322]",,반도체공학과,
2517,전선,소프트웨어기초,가좌캠퍼스,3.0,"화6[601-0801],금2,3[601-0909]",화6[601-0801],"금2,3[601-0909]",소프트웨어공학과,
2518,전선,SW공학의이해PBL,가좌캠퍼스,2.0,"화6,7[601-0909]","화6,7[601-0909]",,소프트웨어공학과,
2519,전필,자료구조PBL,가좌캠퍼스,3.0,"화6,7[601-0903],금6,7[601-0903]","화6,7[601-0903]","금6,7[601-0903]",소프트웨어공학과,
2520,전필,자료구조PBL,가좌캠퍼스,3.0,"화8,9[601-0903],금8,9[601-0903]","화8,9[601-0903]","금8,9[601-0903]",소프트웨어공학과,
2521,전선,객체지향프로그래밍,가좌캠퍼스,3.0,"화2,3[601-0801],수3,4[601-0801]","화2,3[601-0801]","수3,4[601-0801]",소프트웨어공학과,
2522,전선,객체지향프로그래밍,가좌캠퍼스,3.0,"목2,3[601-0801],금2,3[601-0801]","목2,3[601-0801]","금2,3[601-0801]",소프트웨어공학과,
2523,전선,이산수학,가좌캠퍼스,3.0,"수6,7,8[601-0801]","수6,7,8[601-0801]",,소프트웨어공학과,
2524,전선,기계학습,가좌캠퍼스,3.0,"월5,6,7[601-0909]","월5,6,7[601-0909]",,소프트웨어공학과,
2525,전선,항공우주소프트웨어공학개론,가좌캠퍼스,3.0,"월8,9[601-0801],목8[601-0801]","월8,9[601-0801]",목8[601-0801],소프트웨어공학과,
2526,전필,운영체제PBL,가좌캠퍼스,3.0,"수6,7,8[601-0909]","수6,7,8[601-0909]",,소프트웨어공학과,
2527,전선,소프트웨어요구분석및설계,가좌캠퍼스,3.0,"수1,2[601-0902],금3[601-0902]","수1,2[601-0902]",금3[601-0902],소프트웨어공학과,
2528,전선,데이터베이스PBL,가좌캠퍼스,3.0,"목6,7,8[601-0909]","목6,7,8[601-0909]",,소프트웨어공학과,
2529,전필,종합설계,가좌캠퍼스,3.0,"목5,6,7[601-0902]","목5,6,7[601-0902]",,소프트웨어공학과,
2534,전선,소프트웨어연구참여1,가좌캠퍼스,1.0,"화1,2[601-0902]","화1,2[601-0902]",,소프트웨어공학과,
2535,전필,창의적공학설계(어드벤처디자인),가좌캠퍼스,3.0,"화8,9,10[405-0107]","화8,9,10[405-0107]",,전기공학과,
2536,전필,전기전자실험1,가좌캠퍼스,2.0,"수1,2[405-0223]","수1,2[405-0223]",,전기공학과,
2537,전필,전기전자실험1,가좌캠퍼스,2.0,"수3,4[405-0223]","수3,4[405-0223]",,전기공학과,
2538,전필,전기전자실험1,가좌캠퍼스,2.0,"수6,7[405-0223]","수6,7[405-0223]",,전기공학과,
2539,전선,전자공학1,가좌캠퍼스,3.0,"화1,2[405-0114],목3[405-0114]","화1,2[405-0114]",목3[405-0114],전기공학과,
2540,전선,회로해석론1,가좌캠퍼스,3.0,"화8,9[405-0114],목9[405-0114]","화8,9[405-0114]",목9[405-0114],전기공학과,
2541,전선,전자기이론1,가좌캠퍼스,3.0,"화5[405-0114],목6,7[405-0114]",화5[405-0114],"목6,7[405-0114]",전기공학과,
2542,전선,공학수학1,가좌캠퍼스,3.0,"월8,9[405-0107],목8[405-0107]","월8,9[405-0107]",목8[405-0107],전기공학과,
2543,전필,전기전자응용실험1,가좌캠퍼스,3.0,"월8,9,10[405-0223]","월8,9,10[405-0223]",,전기공학과,
2544,전필,전기전자응용실험1,가좌캠퍼스,3.0,"화1,2,3[405-0223]","화1,2,3[405-0223]",,전기공학과,
2545,전필,전기전자응용실험1,가좌캠퍼스,3.0,"화8,9,10[405-0223]","화8,9,10[405-0223]",,전기공학과,
2546,전필,전기물성,가좌캠퍼스,3.0,"월5[405-0107],수6,7[405-0107]",월5[405-0107],"수6,7[405-0107]",전기공학과,
2547,전필,전기기기1,가좌캠퍼스,3.0,"월1,2[405-0107],수3[405-0107]","월1,2[405-0107]",수3[405-0107],전기공학과,
2548,전필,전력시스템공학1,가좌캠퍼스,3.0,"화5[405-0107],목6,7[405-0107]",화5[405-0107],"목6,7[405-0107]",전기공학과,
2549,전선,디지털시스템,가좌캠퍼스,3.0,"금5,6,7[405-0114]","금5,6,7[405-0114]",,전기공학과,
2550,전선,자동제어1,가좌캠퍼스,3.0,"월6,7[405-0107],목5[405-0107]","월6,7[405-0107]",목5[405-0107],전기공학과,
2552,전필,종합설계,가좌캠퍼스,2.0,"목1,2[405-0212]","목1,2[405-0212]",,전기공학과,
2553,전필,종합설계,가좌캠퍼스,2.0,"화1,2[405-0212]","화1,2[405-0212]",,전기공학과,
2554,전선,전력전자시스템설계,가좌캠퍼스,3.0,"월6,7[405-0114],목5[405-0114]","월6,7[405-0114]",목5[405-0114],전기공학과,
2555,전선,태양전지공학,가좌캠퍼스,3.0,"화5[405-0212],목6,7[405-0212]",화5[405-0212],"목6,7[405-0212]",전기공학과,
2560,전선,전산모사반도체시뮬레이션,가좌캠퍼스,3.0,"금1,2,3[405-0114]","금1,2,3[405-0114]",,전기공학과,
2587,전필,기초전자공학실험,가좌캠퍼스,3.0,"금1,2,3[405-0113]","금1,2,3[405-0113]",,전자공학부,
2588,전필,기초전자공학실험,가좌캠퍼스,3.0,"화8,9,10[405-0113]","화8,9,10[405-0113]",,전자공학부,
2589,전필,회로해석론1,가좌캠퍼스,3.0,"월8,9[405-0409],목8[405-0409]","월8,9[405-0409]",목8[405-0409],전자공학부,
2590,전필,전자기이론1,가좌캠퍼스,3.0,"월1,2[405-0409],수3[405-0409]","월1,2[405-0409]",수3[405-0409],전자공학부,
2591,전선,물리전자,가좌캠퍼스,3.0,"화5[405-0409],목6,7[405-0409]",화5[405-0409],"목6,7[405-0409]",전자공학부,
2592,전선,공학수학1,가좌캠퍼스,3.0,"월5[405-0426],수6,7[405-0426]",월5[405-0426],"수6,7[405-0426]",전자공학부,
2593,전선,프로그래밍실습,가좌캠퍼스,3.0,"화1,2,3[405-0413]","화1,2,3[405-0413]",,전자공학부,
2598,전선,AI기초,가좌캠퍼스,3.0,"화5[405-0413],목6,7[405-0413]",화5[405-0413],"목6,7[405-0413]",전자공학부,
2599,전선,전자장및안테나공학,가좌캠퍼스,3.0,"월5[405-0409],수6,7[405-0409]",월5[405-0409],"수6,7[405-0409]",전자공학부,
2600,전선,통신시스템,가좌캠퍼스,3.0,"월1,2[405-0413],수3[405-0413]","월1,2[405-0413]",수3[405-0413],전자공학부,
2601,전선,컴퓨터구조,가좌캠퍼스,3.0,"화6,7[405-0426],금5[405-0426]","화6,7[405-0426]",금5[405-0426],전자공학부,
2602,전선,신호및시스템,가좌캠퍼스,3.0,"월3[405-0409],목1,2[405-0409]",월3[405-0409],"목1,2[405-0409]",전자공학부,
2603,전선,선형대수학,가좌캠퍼스,3.0,"화8,9[405-0409],목9[405-0409]","화8,9[405-0409]",목9[405-0409],전자공학부,
2604,전선,전자회로1,가좌캠퍼스,3.0,"월6,7[405-0426],목5[405-0426]","월6,7[405-0426]",목5[405-0426],전자공학부,
2605,전필,종합설계,가좌캠퍼스,1.0,화8[405-0426],화8[405-0426],,전자공학부,
2606,전필,종합설계,가좌캠퍼스,1.0,화8[405-0105],화8[405-0105],,전자공학부,
2609,전선,아날로그집적회로설계,가좌캠퍼스,3.0,"화5[405-0426],목6,7[405-0426]",화5[405-0426],"목6,7[405-0426]",전자공학부,
2616,전선,추정이론,가좌캠퍼스,3.0,"월6,7[405-0409],목5[405-0409]","월6,7[405-0409]",목5[405-0409],전자공학부,
2617,전필,디지털논리회로,가좌캠퍼스,3.0,"월5[405-0517],수6,7[405-0517]",월5[405-0517],"수6,7[405-0517]",제어로봇공학과,
2618,전필,디지털논리회로,가좌캠퍼스,3.0,"월6[405-0523],수1,2[405-0523]",월6[405-0523],"수1,2[405-0523]",제어로봇공학과,
2619,전필,C프로그래밍1,가좌캠퍼스,3.0,"월8,9,10[404-0209]","월8,9,10[404-0209]",,제어로봇공학과,
2620,전선,회로해석론1,가좌캠퍼스,3.0,"월1,2[405-0523],수3[405-0523]","월1,2[405-0523]",수3[405-0523],제어로봇공학과,
2621,전선,전자기이론1,가좌캠퍼스,3.0,"화1,2[405-0517],목3[405-0517]","화1,2[405-0517]",목3[405-0517],제어로봇공학과,
2622,전선,공학수학1,가좌캠퍼스,3.0,"화5[405-0523],목6,7[405-0523]",화5[405-0523],"목6,7[405-0523]",제어로봇공학과,
2623,전필,마이크로프로세서공학,가좌캠퍼스,3.0,"월3[405-0523],목1,2[405-0523]",월3[405-0523],"목1,2[405-0523]",제어로봇공학과,
2624,전필,마이크로프로세서공학,가좌캠퍼스,3.0,"월5[405-0523],수6,7[405-0523]",월5[405-0523],"수6,7[405-0523]",제어로봇공학과,
2625,전필,계측공학,가좌캠퍼스,3.0,"월1,2[405-0517],수5[405-0517]","월1,2[405-0517]",수5[405-0517],제어로봇공학과,
2626,전필,전자회로실험,가좌캠퍼스,2.0,"화8,9,10[405-0509]","화8,9,10[405-0509]",,제어로봇공학과,
2627,전선,전자회로공학2,가좌캠퍼스,3.0,"화5[405-0517],목6,7[405-0517]",화5[405-0517],"목6,7[405-0517]",제어로봇공학과,
2628,전선,제어공학1,가좌캠퍼스,3.0,"화1,2[405-0523],목3,4[405-0523]","화1,2[405-0523]","목3,4[405-0523]",제어로봇공학과,
2629,전선,로봇공학,가좌캠퍼스,3.0,"월5[405-0522],수6,7[405-0522]",월5[405-0522],"수6,7[405-0522]",제어로봇공학과,
2630,전선,AI프로그래밍,가좌캠퍼스,3.0,"목8,9,10[404-0209]","목8,9,10[404-0209]",,제어로봇공학과,
2631,전필,마이크로프로세서응용설계,가좌캠퍼스,2.0,"화8,9,10[405-0512]","화8,9,10[405-0512]",,제어로봇공학과,
2632,전필,제어로봇종합설계1,가좌캠퍼스,2.0,"월1,2[405-0512]","월1,2[405-0512]",,제어로봇공학과,
2633,전선,전동기제어,가좌캠퍼스,3.0,"화5[405-0512],목6,7[405-0512]",화5[405-0512],"목6,7[405-0512]",제어로봇공학과,
2634,전선,디지털제어공학,가좌캠퍼스,3.0,"수1,2[405-0517],금3[405-0517]","수1,2[405-0517]",금3[405-0517],제어로봇공학과,
2639,전선,디지털영상처리,가좌캠퍼스,3.0,"화1,2,3[405-0512]","화1,2,3[405-0512]",,제어로봇공학과,
2640,전선,로봇제어및계측프로그래밍,가좌캠퍼스,3.0,"월8,9[405-0512],목8[405-0512]","월8,9[405-0512]",목8[405-0512],제어로봇공학과,
2641,전선,전기물성,가좌캠퍼스,3.0,"토1,2,3[405-0212]","토1,2,3[405-0212]",,전기에너지공학과,
2642,전선,전기기기1,가좌캠퍼스,3.0,"토5,6,7[405-0212]","토5,6,7[405-0212]",,전기에너지공학과,
2643,전선,회로망및제어1,가좌캠퍼스,3.0,"화11,12,13[405-0212]","화11,12,13[405-0212]",,전기에너지공학과,
2645,전선,컴퓨터과학교육론,가좌캠퍼스,3.0,"금1,2,3[601-0403]","금1,2,3[601-0403]",,컴퓨터공학부,
2646,전선,컴퓨터그래픽스,가좌캠퍼스,3.0,"월6,7,8[601-0406]","월6,7,8[601-0406]",,컴퓨터공학부,
